Model_Name,Compound_Pp_Improvement,Runtime_In_Mins,Metric_Value
lr_clf,0.002553555066010396,0.05867996666666667,0.5766416792953662
lr_clf,0.002553555066010396,0.05867996666666667,0.8298638312780365
lr_clf,0.002553555066010396,0.05867996666666667,0.011304021451212773
lr_clf,0.002553555066010396,0.05867996666666667,0.6154849274765417
lr_clf,0.002553555066010396,0.05867996666666667,0.2047399933067929
lr_clf,0.002553555066010396,0.05867996666666667,0.7235520293926604
lr_clf,0.002553555066010396,0.05867996666666667,0.05777565062717282
lr_clf,0.002553555066010396,0.05867996666666667,0.07122454829866823
lr_clf,0.002553555066010396,0.05867996666666667,0.9026776623045115
lr_clf,0.002553555066010396,0.05867996666666667,0.3092389377831733
lr_clf,0.002553555066010396,0.05867996666666667,0.8411678527292493
lr_clf,0.002553555066010396,0.05867996666666667,0.5777657812043661
lr_clf,0.002553555066010396,0.05867996666666667,110.52631578947368
lr_clf,0.002553555066010396,0.05867996666666667,0.9018637181125101
lr_clf,0.002553555066010396,0.05867996666666667,0.4414457772886686
lr_clf,0.002553555066010396,0.05867996666666667,0.04863422538191619
lr_clf,0.002553555066010396,0.05867996666666667,0.27644797060733955
lr_clf,0.002553555066010396,0.05867996666666667,0.7952600066932071
